epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,15864.1,0.89221,0.55753,0.96971,0.20031,1,0.20629,0.16372,0.95018,19.8763,1.00177,0.001208,0.001208,0.001208
90,16188.3,0.83969,0.5654,0.96937,0.20033,1,0.20436,0.1654,0.81535,22.0626,0.96228,0.001199,0.001199,0.001199
91,16384.6,0.84379,0.66531,0.95367,0.20032,1,0.20911,0.16763,1.00093,19.5146,1.01404,0.00119,0.00119,0.00119
92,16555.2,0.84464,0.60105,0.9434,0.20034,1,0.21498,0.17685,0.83634,17.0752,0.96622,0.001181,0.001181,0.001181
93,16647.9,0.81934,0.59066,0.93363,0.20042,1,0.21408,0.17409,0.86776,18.9421,0.9769,0.001172,0.001172,0.001172
94,16867.7,0.84573,0.62417,0.96443,0.20034,1,0.22198,0.17775,0.97258,21.9919,1.0182,0.001163,0.001163,0.001163
95,17129.2,0.84875,0.58485,0.93642,0.2003,1,0.20775,0.1702,0.84158,14.7364,0.96977,0.001154,0.001154,0.001154
96,17474.3,0.83323,0.61591,0.94076,0.20031,1,0.20777,0.16977,0.96389,17.5556,1.00938,0.001145,0.001145,0.001145
97,17816.2,0.81171,0.57711,0.9492,0.20032,1,0.21622,0.17725,0.84162,19.742,0.96578,0.001136,0.001136,0.001136
98,18008.9,0.82956,0.66685,0.95981,0.20031,1,0.21711,0.17883,0.78785,15.9862,0.95022,0.001127,0.001127,0.001127
99,18152.7,0.8032,0.59889,0.93294,0.20029,1,0.21215,0.17475,0.8322,14.9854,0.96364,0.001118,0.001118,0.001118
100,18248.2,0.78198,0.5818,0.92379,0.20028,1,0.21172,0.17075,0.89011,20.4976,0.97738,0.001109,0.001109,0.001109
101,18371.5,0.82,0.64143,0.95757,0.20031,1,0.21102,0.1674,1.0269,23.755,1.02449,0.0011,0.0011,0.0011
